final_equity,max_drawdown_usd,equity_csv,run_log
5082.79,69.66,backtests/equity_90d_20260216_072959.csv,
5081.38,54.08,backtests/equity_90d_20260216_072933.csv,
5076.67,1290.99,backtests/equity_90d_20260219_200028.csv,
5076.44,54.00,backtests/equity_90d_20260216_114754.csv,
5074.04,54.00,backtests/equity_90d_20260216_114512.csv,
5073.96,33.67,backtests/equity_90d_20260215_060615.csv,
5070.52,23.27,backtests/equity_90d_20260215_060309.csv,
5070.52,23.27,backtests/equity_90d_20260215_060610.csv,
5069.79,61.51,backtests/equity_90d_20260216_073032.csv,
5068.52,35.00,backtests/equity_90d_20260216_160224.csv,
5066.49,35.76,backtests/equity_90d_20260216_164849.csv,
5063.68,1287.69,backtests/equity_90d_20260222_175106.csv,
5063.68,1287.69,backtests/equity_90d_20260222_175235.csv,
5063.32,69.66,backtests/equity_90d_20260216_072204.csv,
5061.70,54.73,backtests/equity_90d_20260216_160834.csv,
5059.19,23.22,backtests/equity_90d_20260215_055627.csv,
5059.19,23.22,backtests/equity_90d_20260215_055834.csv,
5059.06,23.22,backtests/equity_90d_20260215_073623.csv,
5058.37,69.50,backtests/equity_90d_20260216_122109.csv,
5056.93,50.03,backtests/equity_90d_20260216_072947.csv,
5056.33,100.08,backtests/equity_90d_20260216_073007.csv,
5053.25,23.22,backtests/equity_90d_20260215_051315.csv,
5052.75,1003.74,backtests/equity_90d_20260227_022916.csv,
5052.66,61.51,backtests/equity_90d_20260216_122130.csv,
5051.69,23.22,backtests/equity_90d_20260215_073146.csv,
5047.69,54.35,backtests/equity_90d_20260216_072940.csv,
5047.24,69.30,backtests/equity_90d_20260216_114540.csv,
5045.37,35.81,backtests/equity_90d_20260215_060353.csv,
5043.83,61.31,backtests/equity_90d_20260216_114608.csv,
5043.13,676.48,backtests/equity_90d_20260217_181918.csv,
5042.46,99.98,backtests/equity_90d_20260216_114547.csv,
5040.27,37.87,backtests/equity_90d_20260216_164856.csv,
5039.89,100.14,backtests/equity_90d_20260216_072212.csv,
5039.73,49.99,backtests/equity_90d_20260216_072156.csv,
5038.59,36.11,backtests/equity_90d_20260215_104207.csv,
5038.59,36.11,backtests/equity_90d_20260215_104439.csv,
5038.15,49.96,backtests/equity_90d_20260216_114526.csv,
5037.27,49.86,backtests/equity_90d_20260216_072953.csv,
5036.19,55.89,backtests/equity_90d_20260216_141248.csv,
5034.19,17.41,backtests/equity_90d_20260216_160215.csv,
5033.82,113.67,backtests/equity_90d_20260216_180950.csv,
5033.47,56.04,backtests/equity_90d_20260216_114519.csv,
5032.59,49.99,backtests/equity_90d_20260216_032137.csv,
5032.49,40.74,backtests/equity_90d_20260216_182803.csv,
5031.81,54.35,backtests/equity_90d_20260216_072148.csv,
5027.31,49.93,backtests/equity_90d_20260216_050039.csv,
5026.74,35.57,backtests/equity_90d_20260215_073140.csv,
5025.34,49.86,backtests/equity_90d_20260216_114533.csv,
5024.22,49.86,backtests/equity_90d_20260216_072138.csv,
5023.64,43.24,backtests/equity_90d_20260216_182751.csv,
5022.87,40.68,backtests/equity_90d_20260217_004125.csv,
5022.87,40.68,backtests/equity_90d_20260217_004130.csv,
5022.87,40.68,backtests/equity_90d_20260217_004137.csv,
5022.87,40.68,backtests/equity_90d_20260217_004406.csv,
5022.87,40.68,backtests/equity_90d_20260217_004413.csv,
5022.23,68.04,backtests/equity_90d_20260216_180730.csv,
5022.20,43.24,backtests/equity_90d_20260216_182700.csv,
5021.92,49.92,backtests/equity_90d_20260216_025831.csv,
5021.81,40.67,backtests/equity_90d_20260217_003922.csv,
5020.80,90.30,backtests/equity_90d_20260216_073015.csv,
5018.82,43.22,backtests/equity_90d_20260216_175800.csv,
5016.75,45.32,backtests/equity_90d_20260216_180440.csv,
5014.67,64.89,backtests/equity_90d_20260216_164441.csv,
5014.38,89.78,backtests/equity_90d_20260216_141129.csv,
5013.97,34.47,backtests/equity_90d_20260216_165554.csv,
5013.97,43.22,backtests/equity_90d_20260216_165531.csv,
5012.33,1.23,backtests/equity_90d_20260216_141349.csv,
5011.45,46.32,backtests/equity_90d_20260216_175941.csv,
5010.52,43.22,backtests/equity_90d_20260216_164903.csv,
5010.37,728.77,backtests/equity_90d_20260222_062622.csv,
5009.84,43.22,backtests/equity_90d_20260216_164756.csv,
5009.83,34.48,backtests/equity_90d_20260216_165458.csv,
5009.07,39.31,backtests/equity_90d_20260216_175735.csv,
5008.78,34.47,backtests/equity_90d_20260216_175825.csv,
5008.00,971.11,backtests/equity_90d_20260217_184841.csv,
5006.78,43.50,backtests/equity_90d_20260216_175955.csv,
5005.85,774.16,backtests/equity_90d_20260225_161202.csv,
5005.43,39.31,backtests/equity_90d_20260216_165509.csv,
5005.31,40.92,backtests/equity_90d_20260216_165639.csv,
5005.20,34.44,backtests/equity_90d_20260216_175723.csv,
5004.47,46.62,backtests/equity_90d_20260216_175748.csv,
5004.31,46.23,backtests/equity_90d_20260216_175901.csv,
5003.50,45.38,backtests/equity_90d_20260216_180459.csv,
5003.32,70.30,backtests/equity_90d_20260216_050033.csv,
5001.97,46.62,backtests/equity_90d_20260216_165521.csv,
5000.71,977.74,backtests/equity_90d_20260217_174449.csv,
5000.29,43.08,backtests/equity_90d_20260217_043050.csv,
5000.28,50.95,backtests/equity_90d_20260216_165119.csv,
5000.25,46.23,backtests/equity_90d_20260216_165628.csv,
5000.00,0.00,backtests/equity_90d_20260215_071025.csv,
5000.00,0.00,backtests/equity_90d_20260215_071156.csv,
5000.00,0.00,backtests/equity_90d_20260215_071204.csv,
5000.00,0.00,backtests/equity_90d_20260215_071214.csv,
5000.00,0.00,backtests/equity_90d_20260215_071504.csv,
5000.00,0.00,backtests/equity_90d_20260215_071628.csv,
5000.00,0.00,backtests/equity_90d_20260216_135939.csv,
5000.00,0.00,backtests/equity_90d_20260216_140327.csv,
5000.00,0.00,backtests/equity_90d_20260216_140704.csv,
5000.00,0.00,backtests/equity_90d_20260216_154256.csv,
5000.00,0.00,backtests/equity_90d_20260216_182503.csv,
5000.00,0.00,backtests/equity_90d_20260216_182548.csv,
5000.00,0.00,backtests/equity_90d_20260217_003413.csv,
5000.00,0.00,backtests/equity_90d_20260217_003534.csv,
5000.00,0.00,backtests/equity_90d_20260217_003745.csv,
5000.00,0.00,backtests/equity_90d_20260219_141805.csv,
5000.00,0.00,backtests/equity_90d_20260227_055540.csv,
5000.00,0.00,backtests/equity_90d_20260227_073012.csv,
5000.00,0.00,backtests/equity_90d_20260227_075958.csv,
5000.00,0.00,backtests/equity_90d_20260227_083937.csv,
5000.00,0.00,backtests/equity_90d_20260227_091320.csv,
4999.38,40.92,backtests/equity_90d_20260216_175914.csv,
4999.34,89.88,backtests/equity_90d_20260216_114554.csv,
4998.82,49.92,backtests/equity_90d_20260217_024426.csv,
4998.62,102.54,backtests/equity_90d_20260216_073024.csv,
4998.53,43.37,backtests/equity_90d_20260216_165719.csv,
4997.64,87.02,backtests/equity_90d_20260216_165111.csv,
4996.55,45.20,backtests/equity_90d_20260217_003056.csv,
4996.55,45.20,backtests/equity_90d_20260217_003212.csv,
4995.30,46.19,backtests/equity_90d_20260216_165704.csv,
4994.80,36.37,backtests/equity_90d_20260217_035047.csv,
4994.17,36.37,backtests/equity_90d_20260217_034842.csv,
